"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mfap4.9",1.33865987440128e-60,-2.66849511340094,0.081,0.61,2.73367732951486e-56,"SMC_4","Mfap4"
"Rps28.7",2.41510079980051e-60,-0.819781172050366,0.956,0.988,4.93187734327263e-56,"SMC_4","Rps28"
"Mamdc2.1",2.45490640576911e-60,0.847022443134426,0.43,0.123,5.01316437122109e-56,"SMC_4","Mamdc2"
"Inpp5a.8",3.83088141501509e-60,1.01937243516358,0.643,0.281,7.82304293760232e-56,"SMC_4","Inpp5a"
"Dpt.12",4.97297915087264e-60,-3.18503760329626,0.096,0.607,1.0155320723997e-55,"SMC_4","Dpt"
"Pdgfa.8",3.77497166784551e-59,1.10551332599296,0.669,0.302,7.70886964290732e-55,"SMC_4","Pdgfa"
"Rpl11.4",4.57480918046802e-59,-0.796283965207497,0.941,0.985,9.34221782743375e-55,"SMC_4","Rpl11"
"Ppp1cb.10",5.18263056077575e-59,1.19740053907871,0.864,0.676,1.05834498681602e-54,"SMC_4","Ppp1cb"
"Rps5.4",5.89644305388912e-59,-0.8374469921084,0.956,0.983,1.2041126360347e-54,"SMC_4","Rps5"
"Cd34.11",8.19476086195596e-59,-2.25016804331013,0.059,0.577,1.67345211562003e-54,"SMC_4","Cd34"
"Rpl13.6",8.68402706900771e-59,-0.688511964078031,0.974,0.995,1.77336516776207e-54,"SMC_4","Rpl13"
"Atp5b.3",3.75286431502715e-58,1.01484908653992,0.923,0.829,7.66372421771694e-54,"SMC_4","Atp5b"
"Rps9.6",5.00938867856348e-58,-0.803403212706494,0.963,0.985,1.02296726204945e-53,"SMC_4","Rps9"
"Rasl12.11",5.11009084254758e-58,0.809234245156419,0.548,0.183,1.04353165095664e-53,"SMC_4","Rasl12"
"Mark1.9",5.79296743771842e-58,0.958924441711242,0.529,0.181,1.18298188045648e-53,"SMC_4","Mark1"
"Klhl23",1.01266439396496e-57,0.711596547504873,0.309,0.069,2.06796195891585e-53,"SMC_4","Klhl23"
"Egflam",2.10792108614783e-57,0.489088231799773,0.199,0.03,4.30458565002248e-53,"SMC_4","Egflam"
"Plxdc2.8",2.81703840703763e-57,-1.34277954227672,0.099,0.634,5.75267413101155e-53,"SMC_4","Plxdc2"
"Pdgfra.11",3.83921572407827e-57,-1.95966243946565,0.007,0.536,7.84006243014023e-53,"SMC_4","Pdgfra"
"Perp.6",5.65142214661115e-57,0.806031928351432,0.474,0.148,1.15407691655946e-52,"SMC_4","Perp"
"Ripor2.1",1.15873016383255e-56,0.359268164489745,0.162,0.02,2.36624286756246e-52,"SMC_4","Ripor2"
"Rps27.3",1.28012950249079e-56,-0.707224095855987,0.989,0.994,2.61415245703645e-52,"SMC_4","Rps27"
"Hsp90b1.6",2.61035743659809e-56,-1.07610403169842,0.842,0.947,5.33061092127696e-52,"SMC_4","Hsp90b1"
"Dkk3.8",2.61369384310486e-56,-1.98081432039696,0.088,0.599,5.33742419700443e-52,"SMC_4","Dkk3"
"Npc2.6",3.15126459891826e-56,-1.28679823453893,0.353,0.771,6.43519743745097e-52,"SMC_4","Npc2"
"Uba2.1",3.52779526584682e-56,1.22065109142804,0.702,0.393,7.20411071238579e-52,"SMC_4","Uba2"
"Camk2g.7",4.10278230205098e-56,0.840333903459153,0.581,0.228,8.3782917390183e-52,"SMC_4","Camk2g"
"Kitl.9",5.1202746805879e-56,1.14137504113272,0.636,0.26,1.04561129252286e-51,"SMC_4","Kitl"
"Trp53i11.1",7.60055470762043e-56,0.531359758717052,0.32,0.072,1.55210927684317e-51,"SMC_4","Trp53i11"
"Rpl23.5",7.7381916505721e-56,-0.750850176063934,0.985,0.993,1.58021611696333e-51,"SMC_4","Rpl23"
"Vcan.10",1.24068967665493e-55,-1.95457689787919,0.051,0.568,2.53361238869704e-51,"SMC_4","Vcan"
"Cacnb2.1",1.26427720356005e-55,0.64192462777556,0.375,0.099,2.58178047738998e-51,"SMC_4","Cacnb2"
"Morrbid",1.61077854323552e-55,0.578363516546394,0.199,0.031,3.28937086314125e-51,"SMC_4","Morrbid"
"Ahnak.5",3.7234969309793e-55,-1.11706304665284,0.875,0.968,7.60375308275283e-51,"SMC_4","Ahnak"
"Ppp1r1a",5.42191051543699e-55,0.33515373477596,0.158,0.02,1.10720834635739e-50,"SMC_4","Ppp1r1a"
"Chn1.1",1.49551509822294e-54,0.724993956622379,0.206,0.034,3.05399138208107e-50,"SMC_4","Chn1"
"Mmp2.12",3.20783983271103e-54,-1.97995226246639,0.077,0.564,6.5507297223792e-50,"SMC_4","Mmp2"
"Col15a1.10",5.96034426588934e-54,-1.85611437157142,0.066,0.568,1.21716190253726e-49,"SMC_4","Col15a1"
"Vcl.11",7.01042741337759e-54,0.984607093410192,0.846,0.532,1.43159938208584e-49,"SMC_4","Vcl"
"H2-D1.8",7.04018059117018e-54,-1.53180594974297,0.522,0.855,1.43767527852286e-49,"SMC_4","H2-D1"
"Bmp5",7.09007766206583e-54,0.32374440996664,0.121,0.012,1.44786475937046e-49,"SMC_4","Bmp5"
"Rps20.6",9.20888943940381e-54,-0.799448846432131,0.974,0.99,1.88054731242065e-49,"SMC_4","Rps20"
"Lgalsl.6",1.33066450632107e-53,1.16282110193515,0.728,0.418,2.71734998835826e-49,"SMC_4","Lgalsl"
"Arhgef7.2",1.58570364596306e-53,1.0227761416738,0.574,0.243,3.23816541542116e-49,"SMC_4","Arhgef7"
"Cnnm2",4.34817036581914e-53,0.758716574063918,0.32,0.079,8.87939870403927e-49,"SMC_4","Cnnm2"
"Loxl1.10",5.24810908134006e-53,-1.50095726948897,0.279,0.687,1.07171635550045e-48,"SMC_4","Loxl1"
"Rps24.3",8.09811960924288e-53,-0.730399550509641,0.989,0.995,1.65371700540349e-48,"SMC_4","Rps24"
"Rrad.9",8.66120083891215e-53,1.68093049925384,0.496,0.177,1.76870382331425e-48,"SMC_4","Rrad"
"Tpt1.6",8.79692913180414e-53,-0.668480324287662,0.996,0.998,1.79642089800572e-48,"SMC_4","Tpt1"
"Epn2.5",8.86467102476234e-53,0.986027861302259,0.757,0.43,1.81025446996672e-48,"SMC_4","Epn2"
"Myl6.10",9.52376677230976e-53,1.03028654672034,0.989,0.983,1.94484841257338e-48,"SMC_4","Myl6"
"Mgst1.10",1.15771264426674e-52,-1.48607304649512,0.121,0.62,2.36416499085711e-48,"SMC_4","Mgst1"
"Pdia3.6",1.16266115446975e-52,-1.05569102253152,0.673,0.89,2.37427034354267e-48,"SMC_4","Pdia3"
"Pkig.5",1.68872912733701e-52,1.13811624993477,0.706,0.384,3.44855375093492e-48,"SMC_4","Pkig"
"Rplp1.6",2.83401485937812e-52,-0.76843647260626,0.978,0.993,5.78734174433606e-48,"SMC_4","Rplp1"
"Arpc1b.5",3.05500990908599e-52,-1.06581882107667,0.456,0.837,6.2386357353445e-48,"SMC_4","Arpc1b"
"Zbtb20.7",3.07200549985815e-52,-1.06430937022191,0.871,0.922,6.27334243126033e-48,"SMC_4","Zbtb20"
"Emp1.7",3.6851881531771e-52,-1.74791891625617,0.081,0.56,7.52552272760297e-48,"SMC_4","Emp1"
