"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Myh9.14",1.63794361087496e-12,1.00366847132576,0.952,0.618,3.34484464776775e-08,"Mac_4","Myh9"
"Adamts1.8",1.68399573324471e-12,-1.90758537728913,0.048,0.631,3.43888768685903e-08,"Mac_4","Adamts1"
"Arpc3.8",1.76210690050368e-12,0.732801104539227,0.976,0.866,3.59839850151857e-08,"Mac_4","Arpc3"
"Pbx1.11",1.97133100724657e-12,-1.24086655586573,0.119,0.661,4.02565504989822e-08,"Mac_4","Pbx1"
"Ryk.7",1.97735186634402e-12,-1.05515684888231,0.048,0.645,4.03795024626113e-08,"Mac_4","Ryk"
"Mtmr12.1",1.99246592228928e-12,0.366856921137126,0.429,0.099,4.06881465990694e-08,"Mac_4","Mtmr12"
"Rps26.10",2.11199667737477e-12,0.837180470836463,1,0.978,4.31290841486701e-08,"Mac_4","Rps26"
"Twsg1.12",2.15309473506114e-12,-1.24820781015125,0.214,0.691,4.39683475846836e-08,"Mac_4","Twsg1"
"Nup50",2.19579269807241e-12,0.525490846927459,0.595,0.181,4.48402826873366e-08,"Mac_4","Nup50"
"Dpt.18",2.23538256022934e-12,-3.34977668825921,0.095,0.648,4.56487472624433e-08,"Mac_4","Dpt"
"Nfatc3.2",2.34413206976621e-12,0.689666989441484,0.714,0.253,4.78695209966958e-08,"Mac_4","Nfatc3"
"Haus8.1",2.38612121256025e-12,0.43086202567917,0.548,0.153,4.8726981281693e-08,"Mac_4","Haus8"
"Polr2a.4",2.50200672659191e-12,0.828813486457788,0.786,0.364,5.10934793637333e-08,"Mac_4","Polr2a"
"Nup43",2.50790078331499e-12,0.274082196515296,0.333,0.063,5.12138418960754e-08,"Mac_4","Nup43"
"Rmi1.1",2.51176114831483e-12,0.387815936658406,0.429,0.104,5.12926744097371e-08,"Mac_4","Rmi1"
"Pcnt",2.62861925632762e-12,0.470458195765833,0.69,0.236,5.36790338334662e-08,"Mac_4","Pcnt"
"Prpf3",2.70921783530716e-12,0.400104853076125,0.5,0.129,5.53249374148076e-08,"Mac_4","Prpf3"
"Col6a3.13",2.83363430825711e-12,-1.39751858590736,0.024,0.614,5.78656462089183e-08,"Mac_4","Col6a3"
"Bub3",2.94726528664093e-12,0.990540347509776,0.857,0.506,6.01861044184945e-08,"Mac_4","Bub3"
"Tnfrsf11a.3",3.00695774084211e-12,0.351721413796312,0.357,0.074,6.14050840257368e-08,"Mac_4","Tnfrsf11a"
"Thrap3",3.02803099843308e-12,0.798219833559325,0.952,0.616,6.18354210190019e-08,"Mac_4","Thrap3"
"Selenok.9",3.12586570605336e-12,-0.938845394287041,0.881,0.923,6.38333035833157e-08,"Mac_4","Selenok"
"Serbp1.4",3.26855860168519e-12,0.95116881757197,1,0.908,6.67472352050133e-08,"Mac_4","Serbp1"
"Col4a5.17",3.30555246327362e-12,-1.31385695156624,0.024,0.614,6.75026868525105e-08,"Mac_4","Col4a5"
